RegId,RegionId,RegionName,RegionTypeId,RegionTypeName,DangerLevel,ValidFrom,ValidTo,NextWarningTime,PublishTime,DangerIncreaseTime,DangerDecreaseTime,MainText,LangKey
137929,3022,Trollheimen,10,A,2,2018-01-01T00:00:00,2018-01-01T23:59:59,2017-12-31T16:00:00,2017-12-31T14:55:03.203,,,Ver varsom i terreng som har samla fokksnø. Skred er lettast å løyse ut der fokksnølaget er tynt eller mjukt.,1
138059,3022,Trollheimen,10,A,2,2018-01-02T00:00:00,2018-01-02T23:59:59,2018-01-01T16:00:00,2018-01-01T15:05:52.427,,,Lokalt ustabile forhold. Nysnø og vind har dannet nysnøflak i høyden.,1
138162,3022,Trollheimen,10,A,2,2018-01-03T00:00:00,2018-01-03T23:59:59,2018-01-03T16:00:00,2018-01-02T15:30:56.043,,,Lokalt ustabile forhold. Nysnø og vind har dannet nysnøflak i høyden.,1
138319,3022,Trollheimen,10,A,2,2018-01-04T00:00:00,2018-01-04T23:59:59,2018-01-04T16:00:00,2018-01-03T15:50:24.25,,,Lokalt ustabile forhold. Nysnø og vind har dannet nysnøflak i høyden.,1
138501,3022,Trollheimen,10,A,2,2018-01-05T00:00:00,2018-01-05T23:59:59,2018-01-05T16:00:00,2018-01-04T15:17:44.557,,,Lokalt ustabile forhold. Nysnø og vind har dannet nysnøflak i høyden.,1
138651,3022,Trollheimen,10,A,2,2018-01-06T00:00:00,2018-01-06T23:59:59,2018-01-06T16:00:00,2018-01-05T15:51:45.683,,,Lokalt ustabile forhold. Nysnø og vind har dannet nysnøflak i høyden.,1
138818,3022,Trollheimen,10,A,3,2018-01-07T00:00:00,2018-01-07T23:59:59,2018-01-07T16:00:00,2018-01-06T15:46:17.063,,,"Krevende forhold med svært kraftig vind. Det finnes svake lag i snødekket. Vær spesielt forsiktig rundt skoggrensen, samt i områder med fersk fokksnø.",1
138995,3022,Trollheimen,10,A,3,2018-01-08T00:00:00,2018-01-08T23:59:59,2018-01-08T16:00:00,2018-01-07T15:45:52.373,,,"Vær forsiktig i leområder med fersk fokksnø, feks. bak rygger, i søkk og renneformasjonar. Lettest å løse ut skred der fokksnølaget er tynt eller mykt.",1
139183,3022,Trollheimen,10,A,2,2018-01-09T00:00:00,2018-01-09T23:59:59,2018-01-09T16:00:00,2018-01-08T15:36:50.393,,,"Vær forsiktig i leområder med fersk fokksnø i mange himmelretninger, feks. i søkk og renneformasjonar. Lettest å løse ut skred der fokksnøen er tynn eller myk.",1
139491,3022,Trollheimen,10,A,2,2018-01-10T00:00:00,2018-01-10T23:59:59,2018-01-10T16:00:00,2018-01-09T15:38:45.077,,, Det finst fersk fokksnø i leformasjonar i terrenget. Skred er lettast å løyse ut der fokksnølaget er tynt eller mjukt.,1
139752,3022,Trollheimen,10,A,2,2018-01-11T00:00:00,2018-01-11T23:59:59,2018-01-11T16:00:00,2018-01-10T15:34:31.133,,,Det finst fersk fokksnø i leformasjonar i terrenget. Skred er lettast å løyse ut der fokksnølaget er tynt eller mjukt.,1
140017,3022,Trollheimen,10,A,2,2018-01-12T00:00:00,2018-01-12T23:59:59,2018-01-11T16:00:00,2018-01-11T15:41:15.59,,,Det finst fersk fokksnø i leformasjonar i terrenget. Skred er lettast å løyse ut der fokksnølaget er tynt eller mjukt. ,1
140185,3022,Trollheimen,10,A,2,2018-01-13T00:00:00,2018-01-13T23:59:59,2018-01-12T16:00:00,2018-01-12T15:48:00.74,,,Det finst fersk fokksnø i leformasjonar i terrenget. Skred er lettast å løyse ut der fokksnølaget er tynt eller mjukt. ,1
140390,3022,Trollheimen,10,A,2,2018-01-14T00:00:00,2018-01-14T23:59:59,2018-01-13T16:00:00,2018-01-13T15:36:20.52,,,Generelt stabile forhold men vær forsiktig i leområder med fokksnø. Det finnes lommer med svake lag under den vindtransporterte snøen.,1
140536,3022,Trollheimen,10,A,2,2018-01-15T00:00:00,2018-01-15T23:59:59,2018-01-14T16:00:00,2018-01-14T15:37:20.813,,,Vær varsom i områder med ustabile fokksnøflak. Det finnes også vedvarende svake lag lenger ned i snødekket som kan påvirkes der snødekket er tynt.,1
140903,3022,Trollheimen,10,A,2,2018-01-16T00:00:00,2018-01-16T23:59:59,2018-01-15T16:00:00,2018-01-16T15:56:33.693,,,Vær oppmerksom på ustabile fokksnøflak. Det finnes også vedvarende svake lag lenger ned i snødekket som kan påvirkes der snødekket er tynt.,1
140904,3022,Trollheimen,10,A,2,2018-01-17T00:00:00,2018-01-17T23:59:59,2018-01-16T16:00:00,2018-01-17T08:41:28.797,,,Vær oppmerksom på ustabile fokksnøflak. Det finnes også vedvarende svake lag lenger ned i snødekket som kan påvirkes der snødekket er tynt.,1
140944,3022,Trollheimen,10,A,2,2018-01-18T00:00:00,2018-01-18T23:59:59,2018-01-17T16:00:00,2018-01-17T15:24:17.637,,,Vær oppmerksom på ustabile fokksnøflak. Det finnes også vedvarende svake lag av kantkorn i snødekket. Disse påvirkes lettest der snødekket er tynt.,1
141157,3022,Trollheimen,10,A,2,2018-01-19T00:00:00,2018-01-19T23:59:59,2018-01-18T16:00:00,2018-01-18T15:19:38.2,,,"Snødekket er svært vindpåvirket. Kulda forsinker stabiliseringen og fremmer vekst av vedvarende svake lag. Snødekket framstår stabilt, men krever kloke vegvalg.",1
141300,3022,Trollheimen,10,A,2,2018-01-20T00:00:00,2018-01-20T23:59:59,2018-01-20T16:00:00,2018-01-19T15:51:17.37,,,Vær varsom i områder med ustabile fokksnøflak. Det finnes også vedvarande svake lag lenger ned i snødekket som kan påvirkes der snødekket er tynt.,1
141449,3022,Trollheimen,10,A,2,2018-01-21T00:00:00,2018-01-21T23:59:59,2018-01-21T16:00:00,2018-01-20T15:23:05.067,,,Vær varsom i områder med ustabile fokksnøflak. Det finnes også vedvarande svake lag lenger ned i snødekket som kan påvirkes der snødekket er tynt.,1
141566,3022,Trollheimen,10,A,2,2018-01-22T00:00:00,2018-01-22T23:59:59,2018-01-22T16:00:00,2018-01-21T15:35:04.897,,,Vær varsom i områder med ustabile fokksnøflak. Det finnes også vedvarende svake lag lenger ned i snødekket som kan påvirkes der snødekket er tynt.,1
141699,3022,Trollheimen,10,A,2,2018-01-23T00:00:00,2018-01-23T23:59:59,2018-01-23T16:00:00,2018-01-22T15:33:48.1,,,Vær forsiktig i områder med ferske nysnøflak. Den kan ligge på svake lag som kan løses ut av skiløper.,1
141836,3022,Trollheimen,10,A,2,2018-01-24T00:00:00,2018-01-24T23:59:59,2018-01-24T16:00:00,2018-01-23T15:49:58.143,,,Vær forsiktig i områder med ferske nysnøflak. Den kan ligge på svake lag som kan løses ut av skiløper.,1
142114,3022,Trollheimen,10,A,3,2018-01-25T00:00:00,2018-01-25T23:59:59,2018-01-24T16:00:00,2018-01-24T15:48:12.943,,,"Vinden tar seg opp, og mykje nedbør som snø over 500 moh fører til aukande skredfare. Naturleg utløyste skred kan kome frå bratte heng, særleg tidleg på døgnet.",1
142169,3022,Trollheimen,10,A,3,2018-01-26T00:00:00,2018-01-26T23:59:59,2018-01-25T16:00:00,2018-01-25T15:56:45.057,,,Snøbyger gir varierande vêrforhold og usikker nysnøfordeling. Nysnøflak som legg seg over rimlag kan gi ustabil situasjon som krev gode vegval.  ,1
142374,3022,Trollheimen,10,A,3,2018-01-27T00:00:00,2018-01-27T23:59:59,2018-01-26T16:00:00,2018-01-26T15:50:12.443,,,Vindauke på ettermiddagen fører til auka fare. Det er store lokale forskjellar i regionen. Unngå leområde der det samlar seg fersk fokksnø. ,1
142667,3022,Trollheimen,10,A,3,2018-01-28T00:00:00,2018-01-28T23:59:59,2018-01-27T16:00:00,2018-01-27T15:37:26.1,,,Krevende forhold. Unngå leområder hvor det legger seg opp ferske nysnøflak. Svake lag i snødekket gir en utfordrende situasjon over mildværsgrensa.,1
142870,3022,Trollheimen,10,A,2,2018-01-29T00:00:00,2018-01-29T23:59:59,2018-01-28T16:00:00,2018-01-28T15:40:38.317,,,Lokalt ustabile fokksnøflak i leområder. Svake lag med kantkorn og rim kan påvirkes der snødekket er tynt.,1
142942,3022,Trollheimen,10,A,2,2018-01-30T00:00:00,2018-01-30T23:59:59,2018-01-29T16:00:00,2018-01-29T15:41:59.423,,,Lokalt ustabile fokksnøflak i leområder. Svake lag med kantkorn og rim kan påvirkes der snødekket er tynt.,1
143161,3022,Trollheimen,10,A,2,2018-01-31T00:00:00,2018-01-31T23:59:59,2018-01-30T16:00:00,2018-01-30T15:38:18.077,,,Lokalt ustabile fokksnøflak i leområder. Svake lag med kantkorn og rim kan påvirkes der snødekket er tynt.,1
143314,3022,Trollheimen,10,A,2,2018-02-01T00:00:00,2018-02-01T23:59:59,2018-02-01T16:00:00,2018-01-31T15:39:06.967,,,Lokalt ustabile fokksnøflak i leområder. Svake lag med kantkorn og rim kan påvirkes der snødekket er tynt.,1
143507,3022,Trollheimen,10,A,2,2018-02-02T00:00:00,2018-02-02T23:59:59,2018-02-02T16:00:00,2018-02-01T15:33:07.7,,,Lokalt ustabile fokksnøflak i leområder. Svake lag med kantkorn og rim kan påvirkes der snødekket er tynt.,1
143695,3022,Trollheimen,10,A,2,2018-02-03T00:00:00,2018-02-03T23:59:59,2018-02-03T16:00:00,2018-02-02T15:32:10.727,,,Lokalt ustabile fokksnøflak i leområder. Svake lag med kantkorn og rim kan påvirkes der snødekket er tynt.,1
143884,3022,Trollheimen,10,A,2,2018-02-04T00:00:00,2018-02-04T23:59:59,2018-02-04T16:00:00,2018-02-03T15:22:36.25,,,Lokalt ustabile fokksnøflak i leområder. Svake lag med kantkorn og rim kan påvirkes der snødekket er tynt.,1
144026,3022,Trollheimen,10,A,2,2018-02-05T00:00:00,2018-02-05T23:59:59,2018-02-05T16:00:00,2018-02-04T15:28:23.243,,,Lokalt ustabile fokksnøflak i leområder. Svake lag med kantkorn og rim kan påvirkes der snødekket er tynt.,1
144184,3022,Trollheimen,10,A,2,2018-02-06T00:00:00,2018-02-06T23:59:59,2018-02-06T16:00:00,2018-02-05T15:41:13.757,,,Vær forsiktig i terrengformasjoner som har samlet fokksnø. Noen få steder kan fokksnøen ha lagt seg over et svakt lag av overflaterim.,1
