RegionID,RegionTypeId,DangerLevel,Time
3003,10,2,2018-01-01
3003,10,2,2018-01-02
3003,10,2,2018-01-03
3003,10,2,2018-01-04
3003,10,2,2018-01-05
3003,10,2,2018-01-06
3003,10,2,2018-01-07
3003,10,2,2018-01-08
3003,10,2,2018-01-09
3003,10,2,2018-01-10
3003,10,2,2018-01-11
3003,10,2,2018-01-12
3003,10,4,2018-01-13
3003,10,3,2018-01-14
3003,10,3,2018-01-15
3003,10,2,2018-01-16
3003,10,2,2018-01-17
3003,10,2,2018-01-18
3003,10,2,2018-01-19
3003,10,2,2018-01-20
3003,10,2,2018-01-21
3003,10,2,2018-01-22
3003,10,2,2018-01-23
3003,10,2,2018-01-24
3003,10,2,2018-01-25
3003,10,2,2018-01-26
3003,10,2,2018-01-27
3003,10,1,2018-01-28
3003,10,1,2018-01-29
3003,10,2,2018-01-30
3003,10,2,2018-01-31
3003,10,2,2018-02-01
3003,10,2,2018-02-02
3003,10,3,2018-02-03
3003,10,3,2018-02-04
3003,10,3,2018-02-05
3003,10,2,2018-02-06
3003,10,2,2018-02-07
3003,10,2,2018-02-08
3003,10,2,2018-02-09
3003,10,3,2018-02-10
3003,10,3,2018-02-11
3003,10,2,2018-02-12
3003,10,2,2018-02-13
3003,10,2,2018-02-14
3003,10,2,2018-02-15
3003,10,2,2018-02-16
3003,10,2,2018-02-17
3003,10,2,2018-02-18
3003,10,2,2018-02-19
3003,10,2,2018-02-20
3003,10,2,2018-02-21
3003,10,2,2018-02-22
3003,10,2,2018-02-23
3003,10,2,2018-02-24
3003,10,3,2018-02-25
3003,10,3,2018-02-26
3003,10,3,2018-02-27
3003,10,3,2018-02-28
3003,10,2,2018-03-01
3003,10,2,2018-03-02
3003,10,2,2018-03-03
3003,10,2,2018-03-04
3003,10,2,2018-03-05
3003,10,2,2018-03-06
3003,10,2,2018-03-07
3003,10,2,2018-03-08
3003,10,2,2018-03-09
3003,10,2,2018-03-10
3003,10,2,2018-03-11
3003,10,2,2018-03-12
3003,10,2,2018-03-13
3003,10,2,2018-03-14
3003,10,2,2018-03-15
3003,10,2,2018-03-16
3003,10,3,2018-03-17
3003,10,3,2018-03-18
3003,10,3,2018-03-19
3003,10,2,2018-03-20
3003,10,2,2018-03-21
3003,10,2,2018-03-22
3003,10,2,2018-03-23
3003,10,2,2018-03-24
3003,10,2,2018-03-25
3003,10,2,2018-03-26
3003,10,2,2018-03-27
3003,10,2,2018-03-28
3003,10,2,2018-03-29
3003,10,2,2018-03-30
3003,10,2,2018-03-31
3003,10,3,2018-04-01
3003,10,2,2018-04-02
3003,10,2,2018-04-03
3003,10,2,2018-04-04
3003,10,2,2018-04-05
3003,10,2,2018-04-06
3003,10,2,2018-04-07
3003,10,2,2018-04-08
3003,10,2,2018-04-09
3003,10,2,2018-04-10
3003,10,2,2018-04-11
3003,10,3,2018-04-12
3003,10,3,2018-04-13
3003,10,3,2018-04-14
3003,10,2,2018-04-15
3003,10,2,2018-04-16
3003,10,2,2018-04-17
3003,10,2,2018-04-18
3003,10,2,2018-04-19
3003,10,2,2018-04-20
3003,10,2,2018-04-21
3003,10,2,2018-04-22
3003,10,2,2018-04-23
3003,10,2,2018-04-24
3003,10,2,2018-04-25
3003,10,2,2018-04-26
3003,10,2,2018-04-27
3003,10,2,2018-04-28
3003,10,2,2018-04-29
3003,10,2,2018-04-30
3003,10,2,2018-05-01
3003,10,2,2018-05-02
3003,10,2,2018-05-03
3003,10,2,2018-05-04
3003,10,3,2018-05-05
3003,10,2,2018-05-06
3003,10,2,2018-05-07
3003,10,2,2018-05-08
3003,10,3,2018-05-09
3003,10,3,2018-05-10
3003,10,3,2018-05-11
3003,10,3,2018-05-12
3003,10,3,2018-05-13
3003,10,2,2018-05-14
3003,10,2,2018-05-15
3003,10,2,2018-05-16
3003,10,2,2018-05-17
3003,10,2,2018-05-18
3003,10,2,2018-05-19
3003,10,2,2018-05-20
3003,10,2,2018-05-21
3003,10,2,2018-05-22
3003,10,2,2018-05-23
3003,10,2,2018-05-24
3003,10,2,2018-05-25
3003,10,2,2018-05-26
3003,10,1,2018-05-27
3003,10,1,2018-05-28
3003,10,1,2018-05-29
3003,10,1,2018-05-30
3003,10,2,2018-05-31
3003,10,3,2018-11-30
3003,10,3,2018-12-01
3003,10,3,2018-12-02
3003,10,3,2018-12-03
3003,10,3,2018-12-04
3003,10,3,2018-12-05
3003,10,3,2018-12-06
3003,10,3,2018-12-07
3003,10,3,2018-12-08
3003,10,3,2018-12-09
3003,10,3,2018-12-10
3003,10,3,2018-12-11
3003,10,3,2018-12-12
3003,10,3,2018-12-13
3003,10,3,2018-12-14
3003,10,3,2018-12-15
3003,10,3,2018-12-16
3003,10,2,2018-12-17
3003,10,3,2018-12-18
3003,10,3,2018-12-19
3003,10,2,2018-12-20
3003,10,2,2018-12-21
3003,10,2,2018-12-22
3003,10,2,2018-12-23
3003,10,2,2018-12-24
3003,10,2,2018-12-25
3003,10,3,2018-12-26
3003,10,2,2018-12-27
3003,10,2,2018-12-28
3003,10,2,2018-12-29
3003,10,2,2018-12-30
3003,10,2,2018-12-31
3006,10,4,2018-02-28
3006,10,3,2018-03-01
3006,10,3,2018-03-02
3006,10,4,2018-03-26
3006,10,4,2018-03-27
3006,10,3,2018-03-28
3006,10,4,2018-03-29
3006,10,4,2018-03-30
3006,10,4,2018-03-31
3006,10,3,2018-04-01
3009,10,2,2018-01-01
3009,10,2,2018-01-02
3009,10,2,2018-01-03
3009,10,2,2018-01-04
3009,10,2,2018-01-05
3009,10,2,2018-01-06
3009,10,2,2018-01-07
3009,10,3,2018-01-08
3009,10,3,2018-01-09
3009,10,3,2018-01-10
3009,10,2,2018-01-11
3009,10,2,2018-01-12
3009,10,2,2018-01-13
3009,10,2,2018-01-14
3009,10,2,2018-01-15
3009,10,2,2018-01-16
3009,10,2,2018-01-17
3009,10,2,2018-01-18
3009,10,2,2018-01-19
3009,10,1,2018-01-20
3009,10,1,2018-01-21
3009,10,1,2018-01-22
3009,10,1,2018-01-23
3009,10,1,2018-01-24
3009,10,1,2018-01-25
3009,10,2,2018-01-26
3009,10,2,2018-01-27
3009,10,2,2018-01-28
3009,10,2,2018-01-29
3009,10,1,2018-01-30
3009,10,2,2018-01-31
3009,10,2,2018-02-01
3009,10,1,2018-02-02
3009,10,1,2018-02-03
3009,10,1,2018-02-04
3009,10,1,2018-02-05
3009,10,1,2018-02-06
3009,10,1,2018-02-07
3009,10,1,2018-02-08
3009,10,1,2018-02-09
3009,10,1,2018-02-10
3009,10,1,2018-02-11
3009,10,1,2018-02-12
3009,10,1,2018-02-13
3009,10,1,2018-02-14
3009,10,1,2018-02-15
3009,10,1,2018-02-16
3009,10,1,2018-02-17
3009,10,1,2018-02-18
3009,10,1,2018-02-19
3009,10,1,2018-02-20
